Productfloor,Pedestal type,Variant,Wt per unit (kg),Wt of installation kit (kg),A1-A3,A4,A5,C1,C2,C3,C4,D,A1-C4
Raised floor pedestals ,M1.,M1 15 mm,0.23,1.08,2.27E+00,1.06E-02,6.66E-02,0.00E+00,4.79E-03,1.69E-01,6.93E-04,-1.41E+00,2.53E+00
Raised floor pedestals ,M1.,M1 20 mm,0.23,1.08,2.27E+00,1.06E-02,6.66E-02,0.00E+00,4.79E-03,1.69E-01,6.93E-04,-1.41E+00,2.53E+00
Raised floor pedestals ,M1.,M1 30 mm,0.23,1.11,2.34E+00,1.09E-02,6.85E-02,0.00E+00,4.91E-03,1.69E-01,7.13E-04,-1.45E+00,2.59E+00
Raised floor pedestals ,M1.,M1 35 mm,0.24,1.13,2.39E+00,1.11E-02,7.01E-02,0.00E+00,5.00E-03,1.69E-01,7.29E-04,-1.49E+00,2.64E+00
Raised floor pedestals ,M1.,M1 50 mm,0.26,1.2,2.56E+00,1.18E-02,7.54E-02,0.00E+00,5.32E-03,1.69E-01,7.85E-04,-1.60E+00,2.82E+00
Raised floor pedestals ,M2.,M2 60 mm,0.27,1.26,2.70E+00,1.24E-02,7.97E-02,0.00E+00,5.58E-03,1.69E-01,8.30E-04,-1.69E+00,2.96E+00
Raised floor pedestals ,M2.,M2 70 mm,0.29,1.32,2.84E+00,1.30E-02,8.43E-02,0.00E+00,5.85E-03,1.69E-01,8.77E-04,-1.79E+00,3.12E+00
Raised floor pedestals ,M2.,M2 80 mm,0.3,1.37,2.97E+00,1.35E-02,8.81E-02,0.00E+00,6.08E-03,1.69E-01,9.17E-04,-1.87E+00,3.24E+00
Raised floor pedestals ,M2.,M2 100 mm,0.32,1.47,3.20E+00,1.44E-02,9.52E-02,0.00E+00,6.51E-03,1.69E-01,9.91E-04,-2.02E+00,3.48E+00
Raised floor pedestals ,M2.,M2 110 mm,0.33,1.5,3.26E+00,1.47E-02,9.71E-02,0.00E+00,6.62E-03,1.69E-01,1.01E-03,-2.06E+00,3.55E+00
Raised floor pedestals ,M2.,M2 120 mm,0.34,1.53,3.34E+00,1.50E-02,9.96E-02,0.00E+00,6.77E-03,1.69E-01,1.04E-03,-2.11E+00,3.63E+00
Raised floor pedestals ,M2.,M2 130 mm,0.35,1.58,3.45E+00,1.55E-02,1.03E-01,0.00E+00,6.99E-03,1.69E-01,1.07E-03,-2.19E+00,3.75E+00
Raised floor pedestals ,M2.,M2 150 mm,0.36,1.63,3.58E+00,1.60E-02,1.07E-01,0.00E+00,7.21E-03,1.69E-01,1.11E-03,-2.27E+00,3.88E+00
Raised floor pedestals ,M2.,M2 170 mm,0.38,1.68,3.70E+00,1.65E-02,1.11E-01,0.00E+00,7.44E-03,1.69E-01,1.15E-03,-2.35E+00,4.00E+00
Raised floor pedestals ,M2.,M2 190 mm,0.39,1.73,3.82E+00,1.70E-02,1.15E-01,0.00E+00,7.67E-03,1.69E-01,1.19E-03,-2.43E+00,4.13E+00
Raised floor pedestals ,M2.,M2 210 mm,0.4,1.79,3.95E+00,1.75E-02,1.19E-01,0.00E+00,7.90E-03,1.69E-01,1.23E-03,-2.51E+00,4.26E+00
Raised floor pedestals ,M2.,M2 230 mm,0.41,1.84,4.07E+00,1.80E-02,1.22E-01,0.00E+00,8.13E-03,1.69E-01,1.27E-03,-2.59E+00,4.39E+00
Raised floor pedestals ,M2.,M2 250 mm,0.43,1.89,4.19E+00,1.86E-02,1.26E-01,0.00E+00,8.36E-03,1.69E-01,1.31E-03,-2.67E+00,4.51E+00
Raised floor pedestals ,M2.,M2 270 mm,0.44,1.94,4.32E+00,1.91E-02,1.30E-01,0.00E+00,8.59E-03,1.69E-01,1.35E-03,-2.75E+00,4.64E+00
